train
 (<tf.Tensor 'IteratorGetNext:0' shape=(?, 6) dtype=int64>, <tf.Tensor 'IteratorGetNext:1' shape=(?,) dtype=int64>, <tf.Tensor 'IteratorGetNext:2' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext:3' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext:4' shape=(?, ?) dtype=int64>)
test
 (<tf.Tensor 'IteratorGetNext_1:0' shape=(?, 6) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:1' shape=(?,) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:2' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:3' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:4' shape=(?, ?) dtype=int64>)
Epoch 1, loss 5.5121, acc 0.1700 test_acc 0.2157, time 1.90
Epoch 2, loss 3.9566, acc 0.2000 test_acc 0.3474, time 1.42
Epoch 3, loss 3.3953, acc 0.1900 test_acc 0.4100, time 1.26
Epoch 4, loss 2.8907, acc 0.2600 test_acc 0.4564, time 1.26
Epoch 5, loss 2.7538, acc 0.3400 test_acc 0.4836, time 1.25
Epoch 6, loss 2.2348, acc 0.3900 test_acc 0.5109, time 1.28
Epoch 7, loss 1.9642, acc 0.5000 test_acc 0.5204, time 1.24
Epoch 8, loss 2.0535, acc 0.3700 test_acc 0.5429, time 1.29
Epoch 9, loss 1.9857, acc 0.5000 test_acc 0.5536, time 1.30
Epoch 10, loss 1.8277, acc 0.5700 test_acc 0.5631, time 1.27
Epoch 11, loss 1.8020, acc 0.4700 test_acc 0.5793, time 1.25
Epoch 12, loss 1.5906, acc 0.5700 test_acc 0.5804, time 1.26
Epoch 13, loss 1.6597, acc 0.5200 test_acc 0.5951, time 1.27
Epoch 14, loss 1.4339, acc 0.6400 test_acc 0.6036, time 1.28
Epoch 15, loss 1.4120, acc 0.5800 test_acc 0.6025, time 1.27
Epoch 16, loss 1.5398, acc 0.5500 test_acc 0.6205, time 1.25
Epoch 17, loss 1.5281, acc 0.5500 test_acc 0.6279, time 1.27
Epoch 18, loss 1.3369, acc 0.6400 test_acc 0.6301, time 1.29
Epoch 19, loss 1.7199, acc 0.4900 test_acc 0.6463, time 1.27
Epoch 20, loss 1.2624, acc 0.6300 test_acc 0.6445, time 1.23
Epoch 21, loss 1.3577, acc 0.6800 test_acc 0.6651, time 1.26
Epoch 22, loss 1.0404, acc 0.7000 test_acc 0.6673, time 1.29
Epoch 23, loss 1.1211, acc 0.7200 test_acc 0.6632, time 1.26
Epoch 24, loss 1.1850, acc 0.6800 test_acc 0.6791, time 1.27
Epoch 25, loss 0.8594, acc 0.7900 test_acc 0.6820, time 1.26
Epoch 26, loss 1.1447, acc 0.6900 test_acc 0.6857, time 1.28
Epoch 27, loss 1.2086, acc 0.6200 test_acc 0.6997, time 1.26
Epoch 28, loss 0.9589, acc 0.7800 test_acc 0.6982, time 1.28
Epoch 29, loss 1.0651, acc 0.7100 test_acc 0.7030, time 1.31
Epoch 30, loss 0.9732, acc 0.7600 test_acc 0.7008, time 1.28
Epoch 31, loss 0.9473, acc 0.7700 test_acc 0.6986, time 1.28
Epoch 32, loss 0.9043, acc 0.7700 test_acc 0.7103, time 1.28
Epoch 33, loss 1.1252, acc 0.7100 test_acc 0.7089, time 1.24
Epoch 34, loss 1.0147, acc 0.7400 test_acc 0.7081, time 1.25
Epoch 35, loss 1.0018, acc 0.7700 test_acc 0.7181, time 1.28
Epoch 36, loss 0.8565, acc 0.7500 test_acc 0.7173, time 1.27
Epoch 37, loss 0.7286, acc 0.8300 test_acc 0.7229, time 1.25
Epoch 38, loss 0.7882, acc 0.8000 test_acc 0.7243, time 1.28
Epoch 39, loss 0.8405, acc 0.7800 test_acc 0.7203, time 1.26
Epoch 40, loss 0.8865, acc 0.7600 test_acc 0.7240, time 1.29
Epoch 41, loss 0.8157, acc 0.7800 test_acc 0.7262, time 1.26
Epoch 42, loss 0.7140, acc 0.8100 test_acc 0.7287, time 1.28
Epoch 43, loss 0.9362, acc 0.7100 test_acc 0.7302, time 1.27
Epoch 44, loss 0.8570, acc 0.7800 test_acc 0.7317, time 1.26
Epoch 45, loss 0.6266, acc 0.8500 test_acc 0.7339, time 1.27
Epoch 46, loss 0.6919, acc 0.8500 test_acc 0.7350, time 1.28
Epoch 47, loss 0.6895, acc 0.8000 test_acc 0.7350, time 1.28
Epoch 48, loss 0.6235, acc 0.8900 test_acc 0.7409, time 1.27
Epoch 49, loss 0.5824, acc 0.8600 test_acc 0.7372, time 1.30
Epoch 50, loss 0.6641, acc 0.8500 test_acc 0.7416, time 1.29
Epoch 51, loss 0.8724, acc 0.7900 test_acc 0.7460, time 1.24
Epoch 52, loss 0.6323, acc 0.8300 test_acc 0.7409, time 1.29
Epoch 53, loss 0.6524, acc 0.8400 test_acc 0.7424, time 1.29
Epoch 54, loss 0.5163, acc 0.9200 test_acc 0.7457, time 1.28
Epoch 55, loss 0.5697, acc 0.8800 test_acc 0.7446, time 1.27
Epoch 56, loss 0.7817, acc 0.7800 test_acc 0.7464, time 1.30
Epoch 57, loss 0.6542, acc 0.7900 test_acc 0.7431, time 1.25
Epoch 58, loss 0.5422, acc 0.8800 test_acc 0.7475, time 1.23
Epoch 59, loss 0.6508, acc 0.8300 test_acc 0.7468, time 1.28
Epoch 60, loss 0.5318, acc 0.9000 test_acc 0.7497, time 1.27
Epoch 61, loss 0.6219, acc 0.8600 test_acc 0.7516, time 1.26
Epoch 62, loss 0.4671, acc 0.9000 test_acc 0.7475, time 1.27
Epoch 63, loss 0.5021, acc 0.8800 test_acc 0.7549, time 1.28
Epoch 64, loss 0.5504, acc 0.9100 test_acc 0.7604, time 1.26
Epoch 65, loss 0.5401, acc 0.9100 test_acc 0.7519, time 1.27
Epoch 66, loss 0.4504, acc 0.9400 test_acc 0.7505, time 1.28
Epoch 67, loss 0.5839, acc 0.8900 test_acc 0.7549, time 1.28
Epoch 68, loss 0.4971, acc 0.8900 test_acc 0.7545, time 1.32
Epoch 69, loss 0.5868, acc 0.9000 test_acc 0.7563, time 1.28
Epoch 70, loss 0.3606, acc 0.9600 test_acc 0.7549, time 1.29
